district,date,month,year,visitors,Type
Adilabad,01-01-2016,January,2016,2,Foreign
Adilabad,01-02-2016,February,2016,0,Foreign
Adilabad,01-03-2016,March,2016,2,Foreign
Adilabad,01-04-2016,April,2016,0,Foreign
Adilabad,01-05-2016,May,2016,0,Foreign
Adilabad,01-06-2016,June,2016,0,Foreign
Adilabad,01-07-2016,July,2016,4,Foreign
Adilabad,01-08-2016,August,2016,2,Foreign
Adilabad,01-09-2016,September,2016,0,Foreign
Adilabad,01-10-2016,October,2016,0,Foreign
Adilabad,01-11-2016,November,2016,0,Foreign
Adilabad,01-12-2016,December,2016,0,Foreign
Bhadradri Kothagudem ,01-01-2016,January,2016, ,Foreign
Bhadradri Kothagudem ,01-02-2016,February,2016, ,Foreign
Bhadradri Kothagudem ,01-03-2016,March,2016, ,Foreign
Bhadradri Kothagudem ,01-04-2016,April,2016, ,Foreign
Bhadradri Kothagudem ,01-05-2016,May,2016, ,Foreign
Bhadradri Kothagudem ,01-06-2016,June,2016, ,Foreign
Bhadradri Kothagudem ,01-07-2016,July,2016, ,Foreign
Bhadradri Kothagudem ,01-08-2016,August,2016, ,Foreign
Bhadradri Kothagudem ,01-09-2016,September,2016, ,Foreign
Bhadradri Kothagudem ,01-10-2016,October,2016,0,Foreign
Bhadradri Kothagudem ,01-11-2016,November,2016,0,Foreign
Bhadradri Kothagudem ,01-12-2016,December,2016,0,Foreign
Hyderabad,01-01-2016,January,2016,15865,Foreign
Hyderabad,01-02-2016,February,2016,29646,Foreign
Hyderabad,01-03-2016,March,2016,13019,Foreign
Hyderabad,01-04-2016,April,2016,8402,Foreign
Hyderabad,01-05-2016,May,2016,8522,Foreign
Hyderabad,01-06-2016,June,2016,10284,Foreign
Hyderabad,01-07-2016,July,2016,17142,Foreign
Hyderabad,01-08-2016,August,2016,12842,Foreign
Hyderabad,01-09-2016,September,2016,9397,Foreign
Hyderabad,01-10-2016,October,2016,12808,Foreign
Hyderabad,01-11-2016,November,2016,8084,Foreign
Hyderabad,01-12-2016,December,2016,17620,Foreign
Jagtial ,01-01-2016,January,2016, ,Foreign
Jagtial ,01-02-2016,February,2016, ,Foreign
Jagtial ,01-03-2016,March,2016, ,Foreign
Jagtial ,01-04-2016,April,2016, ,Foreign
Jagtial ,01-05-2016,May,2016, ,Foreign
Jagtial ,01-06-2016,June,2016, ,Foreign
Jagtial ,01-07-2016,July,2016, ,Foreign
Jagtial ,01-08-2016,August,2016, ,Foreign
Jagtial ,01-09-2016,September,2016, ,Foreign
